window,t0,t1,width,S0,E0,I0,S1,E1,I1,transformed_scale_S,transformed_scale_E,transformed_scale_I,physics,res_S,res_E,res_I,endpoint_physics,bound,abs_rms_res_S_people_per_time,abs_rms_res_E_people_per_time,abs_rms_res_I_people_per_time,train_seconds,lbfgs_function_evals,regime,media_arg,seed,run_dir
2,600.0,1090.0,490.0,4999483.792126597,0.0019391725221533,0.0059090075111473,4999683.663223879,4.304090295112465e-07,1.310972660171903e-06,0.06,0.26,0.15,3.080138995085915e-07,2.2272257981484193e-09,4.579169865975111e-08,2.59994975050692e-07,4.4950266505468666e-08,0.0,0.0011239020691886,1.2067065873800192e-08,4.909946104814848e-08,50.40310925199992,751,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
3,1090.0,1776.0,686.0,4999683.663223879,4.304090295112465e-07,1.310972660171903e-06,4999840.682713959,4.9863891707637785e-09,1.3605778165724138e-08,0.06,0.26,0.15,7.602054826859511e-07,9.42855376036713e-10,4.5309678373284674e-07,3.061658435770676e-07,5.5590655298634e-08,0.0,0.0004023306692404,4.182169843294533e-10,2.333407859357788e-10,49.92466390000027,750,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
4,1776.0,2736.4,960.3999999999996,4999840.682713959,4.9863891707637785e-09,1.3605778165724138e-08,4999939.021605982,2.835787679702165e-09,7.743167907019781e-09,0.06,0.26,0.15,6.046260966836657e-08,8.629857021135803e-10,3.0900799293238034e-08,2.8698824673014943e-08,7.077780244474314e-10,0.0,0.0002234473744119,4.712351177797771e-10,2.1162593626317972e-10,49.38368709600036,694,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
5,2736.4,4080.959999999999,1344.5599999999995,4999939.021605982,2.835787679702165e-09,7.743167907019781e-09,4999984.107742037,2.0922424109801557e-09,5.70974546004176e-09,0.06,0.26,0.15,6.190199227751792e-08,8.416225753706268e-10,1.7239102275895346e-08,4.3821267426251955e-08,2.7200663397397016e-10,0.0,8.852893656744239e-05,4.0362012982920174e-10,1.8512788342578063e-10,50.968222575000254,751,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
6,4080.959999999999,5963.343999999998,1882.383999999999,4999984.107742037,2.0922424109801557e-09,5.70974546004176e-09,4999997.580524687,1.530481189328787e-09,4.182800338844298e-09,0.06,0.26,0.15,5.928312804635789e-08,1.2627901376402342e-09,2.2983798727048088e-08,3.503653918166956e-08,1.3686703079277359e-09,0.0,2.565275426971409e-05,3.461584221534485e-10,1.6096060882765003e-10,49.28004167200015,680,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
7,5963.343999999998,8598.681599999996,2635.337599999998,4999997.580524687,1.530481189328787e-09,4.182800338844298e-09,4999999.826553201,1.1132593946224767e-09,3.020622361082347e-09,0.06,0.26,0.15,3.582106469190188e-08,2.5125511265040802e-09,1.7633263489783482e-08,1.5675250075614324e-08,8.071960743418966e-10,0.0,3.587599863267264e-06,2.9718179081083755e-10,1.3945682216881142e-10,49.8386666209999,693,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
8,8598.681599999996,11598.681599999996,3000.0,4999999.826553201,1.1132593946224767e-09,3.020622361082347e-09,4999999.991371068,9.726503330679142e-10,2.670160312864292e-09,0.06,0.26,0.15,1.9314400943163678e-08,4.189832944699449e-10,1.08231684450002e-08,8.072249203693528e-09,1.0107522926176415e-09,0.0,1.912953477938252e-07,2.80593440420307e-10,1.318672027066155e-10,49.61897528200007,705,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
9,11598.681599999996,14598.681599999996,3000.0,4999999.991371068,9.726503330679142e-10,2.670160312864292e-09,4999999.99956962,9.776835058888811e-10,2.677411448184462e-09,0.06,0.26,0.15,8.178637274917326e-08,4.3792221096084514e-10,4.64746152951723e-08,3.4873835243040125e-08,5.543305658340093e-10,0.0,6.6944025561989225e-09,2.8073038683861817e-10,1.319233729909405e-10,49.64980951300004,694,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
10,14598.681599999996,17598.681599999996,3000.0,4999999.99956962,9.776835058888811e-10,2.677411448184462e-09,4999999.999978274,9.797698687914046e-10,2.678850725791271e-09,0.06,0.26,0.15,5.4483699488555766e-08,1.438423631338461e-09,2.8699252793213035e-08,2.4346023064004264e-08,5.765409740368366e-10,0.0,8.203552414611278e-10,2.8101858384289704e-10,1.3180728287683702e-10,48.42268503300011,633,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
11,17598.681599999996,20000.0,2401.318400000004,4999999.999978274,9.797698687914046e-10,2.678850725791271e-09,4999999.999997687,1.212686494681339e-09,3.3160453483124052e-09,0.06,0.26,0.15,3.174903029433572e-08,1.501335465667368e-09,1.5827722020385375e-08,1.4419972808282984e-08,3.2192737075309885e-10,0.0,3.711534752690348e-11,3.1005713182502606e-10,1.451248092348876e-10,51.17666825000015,718,DFE,1e-6,0,/Users/Zia/users/zia/downloads/NSSR-Project/SEI_Model/sei_publication_seeds012/DFE_m1e-6_seed0
